,date,open,high,low,close,volume
0,2023-05-27 00:00:00+00:00,26705.93,26713.4,26686.31,26689.15,92.77354
1,2023-05-27 00:05:00+00:00,26689.14,26694.98,26677.23,26692.25,139.78788
2,2023-05-27 00:10:00+00:00,26692.25,26692.25,26678.6,26678.86,34.3593
3,2023-05-27 00:15:00+00:00,26678.87,26680.56,26673.11,26673.11,36.52595
4,2023-05-27 00:20:00+00:00,26673.12,26675.71,26652.75,26666.38,61.32347
5,2023-05-27 00:25:00+00:00,26666.38,26666.38,26644.96,26658.38,113.42222
6,2023-05-27 00:30:00+00:00,26658.38,26658.38,26644.52,26651.26,69.60816
7,2023-05-27 00:35:00+00:00,26651.25,26658.38,26651.25,26658.37,35.65526
8,2023-05-27 00:40:00+00:00,26658.37,26667.48,26641.7,26641.7,55.79884
9,2023-05-27 00:45:00+00:00,26641.7,26651.2,26636.0,26651.19,40.5971
10,2023-05-27 00:50:00+00:00,26651.2,26651.2,26635.58,26636.92,24.33188
11,2023-05-27 00:55:00+00:00,26636.93,26651.93,26633.0,26651.92,52.87061
12,2023-05-27 01:00:00+00:00,26651.93,26670.13,26651.92,26668.57,70.66599
13,2023-05-27 01:05:00+00:00,26668.56,26668.57,26652.3,26655.32,156.8212
14,2023-05-27 01:10:00+00:00,26655.31,26655.96,26645.62,26655.96,29.75302
15,2023-05-27 01:15:00+00:00,26655.96,26663.92,26655.95,26663.91,15.64173
16,2023-05-27 01:20:00+00:00,26663.91,26666.44,26663.91,26666.44,17.76848
17,2023-05-27 01:25:00+00:00,26666.44,26707.51,26666.43,26690.06,196.57376
18,2023-05-27 01:30:00+00:00,26690.06,26696.24,26688.31,26688.32,25.91412
19,2023-05-27 01:35:00+00:00,26688.32,26697.02,26679.2,26694.34,142.67929
20,2023-05-27 01:40:00+00:00,26694.33,26702.99,26684.0,26699.9,120.26587
21,2023-05-27 01:45:00+00:00,26699.91,26699.91,26693.12,26693.31,18.36734
22,2023-05-27 01:50:00+00:00,26693.3,26699.91,26688.73,26698.01,87.77389
23,2023-05-27 01:55:00+00:00,26698.02,26713.76,26698.01,26713.76,62.25569
24,2023-05-27 02:00:00+00:00,26713.75,26727.8,26713.75,26714.54,54.68693
25,2023-05-27 02:05:00+00:00,26714.55,26721.93,26710.0,26711.46,39.45632
26,2023-05-27 02:10:00+00:00,26711.45,26715.86,26708.06,26712.51,31.58324
27,2023-05-27 02:15:00+00:00,26712.51,26712.51,26707.35,26707.36,37.22585
28,2023-05-27 02:20:00+00:00,26707.36,26707.36,26693.93,26693.93,58.71171
29,2023-05-27 02:25:00+00:00,26693.93,26693.94,26691.48,26692.14,16.11737
30,2023-05-27 02:30:00+00:00,26692.14,26695.2,26690.33,26690.33,19.63745
31,2023-05-27 02:35:00+00:00,26690.33,26694.43,26688.08,26694.43,19.96599
32,2023-05-27 02:40:00+00:00,26694.43,26724.62,26691.3,26713.07,58.26435
33,2023-05-27 02:45:00+00:00,26713.07,26713.96,26704.75,26713.96,16.53797
34,2023-05-27 02:50:00+00:00,26713.95,26739.09,26713.95,26738.99,69.81739
35,2023-05-27 02:55:00+00:00,26738.99,26742.98,26735.23,26742.97,37.21192
36,2023-05-27 03:00:00+00:00,26742.98,26748.71,26738.25,26738.26,46.4398
37,2023-05-27 03:05:00+00:00,26738.25,26738.26,26722.49,26724.72,34.55918
38,2023-05-27 03:10:00+00:00,26724.72,26724.73,26716.99,26720.18,40.2053
39,2023-05-27 03:15:00+00:00,26720.18,26722.51,26713.15,26716.39,30.61725
40,2023-05-27 03:20:00+00:00,26716.39,26731.6,26716.38,26731.59,17.05418
41,2023-05-27 03:25:00+00:00,26731.59,26731.6,26720.8,26722.15,21.86663
42,2023-05-27 03:30:00+00:00,26722.15,26734.81,26722.15,26734.8,22.47276
43,2023-05-27 03:35:00+00:00,26734.81,26762.78,26734.8,26746.44,65.62606
44,2023-05-27 03:40:00+00:00,26746.44,26782.73,26746.31,26772.53,78.33913
45,2023-05-27 03:45:00+00:00,26772.53,26772.54,26744.25,26763.33,63.66508
46,2023-05-27 03:50:00+00:00,26763.32,26763.33,26747.2,26760.91,32.74009
47,2023-05-27 03:55:00+00:00,26760.9,26760.91,26752.0,26752.0,56.61398
48,2023-05-27 04:00:00+00:00,26752.0,26756.35,26752.0,26756.35,42.12698
49,2023-05-27 04:05:00+00:00,26756.35,26759.43,26756.34,26759.43,29.64755
50,2023-05-27 04:10:00+00:00,26759.42,26759.45,26750.0,26750.0,75.64923
51,2023-05-27 04:15:00+00:00,26750.0,26750.02,26725.5,26733.89,113.9939
52,2023-05-27 04:20:00+00:00,26733.9,26744.09,26730.01,26744.09,45.53896
53,2023-05-27 04:25:00+00:00,26744.09,26744.48,26737.67,26737.67,37.05446
54,2023-05-27 04:30:00+00:00,26737.68,26773.14,26730.94,26773.13,74.92597
55,2023-05-27 04:35:00+00:00,26773.14,26773.14,26751.09,26756.75,128.60349
56,2023-05-27 04:40:00+00:00,26756.75,26781.68,26755.54,26773.29,85.71739
57,2023-05-27 04:45:00+00:00,26773.3,26781.68,26773.29,26781.66,27.58462
58,2023-05-27 04:50:00+00:00,26781.66,26786.51,26762.45,26762.46,57.56528
59,2023-05-27 04:55:00+00:00,26762.46,26762.46,26760.95,26760.96,18.20027
60,2023-05-27 05:00:00+00:00,26760.95,26763.71,26757.11,26757.54,47.22335
61,2023-05-27 05:05:00+00:00,26757.55,26759.34,26757.54,26759.33,33.0602
62,2023-05-27 05:10:00+00:00,26759.34,26762.47,26750.09,26750.1,33.66146
63,2023-05-27 05:15:00+00:00,26750.1,26760.23,26748.49,26758.9,50.48564
64,2023-05-27 05:20:00+00:00,26758.9,26758.9,26748.49,26751.42,22.27096
65,2023-05-27 05:25:00+00:00,26751.43,26751.43,26738.63,26738.63,39.62373
66,2023-05-27 05:30:00+00:00,26738.64,26745.84,26734.17,26736.18,42.68178
67,2023-05-27 05:35:00+00:00,26736.17,26736.18,26724.76,26731.48,35.82205
68,2023-05-27 05:40:00+00:00,26731.47,26734.03,26731.47,26734.02,18.92662
69,2023-05-27 05:45:00+00:00,26734.02,26737.68,26732.97,26737.67,19.63868
70,2023-05-27 05:50:00+00:00,26737.68,26739.55,26737.66,26737.75,36.85381
71,2023-05-27 05:55:00+00:00,26737.75,26737.75,26725.16,26725.16,37.57066
72,2023-05-27 06:00:00+00:00,26725.16,26734.91,26722.75,26726.84,51.79114
73,2023-05-27 06:05:00+00:00,26726.83,26730.34,26726.83,26730.33,27.45193
74,2023-05-27 06:10:00+00:00,26730.34,26737.84,26730.33,26735.42,35.84961
75,2023-05-27 06:15:00+00:00,26735.43,26735.43,26724.01,26724.01,16.93789
76,2023-05-27 06:20:00+00:00,26724.02,26724.02,26716.29,26716.29,54.45614
77,2023-05-27 06:25:00+00:00,26716.3,26716.3,26710.01,26712.96,33.30819
78,2023-05-27 06:30:00+00:00,26712.96,26716.24,26710.0,26712.84,44.77893
79,2023-05-27 06:35:00+00:00,26712.85,26729.26,26712.84,26729.25,57.5283
80,2023-05-27 06:40:00+00:00,26729.26,26729.26,26720.46,26726.61,28.83984
81,2023-05-27 06:45:00+00:00,26726.62,26740.79,26726.61,26740.78,50.41711
82,2023-05-27 06:50:00+00:00,26740.78,26763.99,26740.78,26748.65,156.23966
83,2023-05-27 06:55:00+00:00,26748.64,26749.47,26748.64,26749.47,17.50036
84,2023-05-27 07:00:00+00:00,26749.46,26749.47,26744.26,26744.26,32.26132
85,2023-05-27 07:05:00+00:00,26744.27,26744.27,26740.18,26740.18,30.79575
86,2023-05-27 07:10:00+00:00,26740.18,26740.19,26738.25,26738.26,24.48813
87,2023-05-27 07:15:00+00:00,26738.25,26738.26,26722.46,26722.47,47.80194
88,2023-05-27 07:20:00+00:00,26722.46,26722.47,26719.37,26719.37,17.45615
89,2023-05-27 07:25:00+00:00,26719.38,26721.67,26716.36,26721.66,48.14499
90,2023-05-27 07:30:00+00:00,26721.67,26721.67,26717.03,26717.04,43.40083
91,2023-05-27 07:35:00+00:00,26717.03,26723.72,26717.03,26722.46,28.47518
92,2023-05-27 07:40:00+00:00,26722.46,26725.65,26720.41,26720.43,42.98624
93,2023-05-27 07:45:00+00:00,26720.43,26720.43,26715.56,26715.85,36.33047
94,2023-05-27 07:50:00+00:00,26715.85,26719.31,26710.0,26717.0,46.74317
95,2023-05-27 07:55:00+00:00,26717.0,26722.8,26716.98,26722.8,28.18909
96,2023-05-27 08:00:00+00:00,26722.8,26722.8,26710.0,26710.01,69.94344
97,2023-05-27 08:05:00+00:00,26710.01,26710.01,26689.65,26692.85,116.63388
98,2023-05-27 08:10:00+00:00,26692.84,26694.02,26682.13,26690.65,71.22645
99,2023-05-27 08:15:00+00:00,26690.65,26700.0,26686.03,26686.04,57.99482
100,2023-05-27 08:20:00+00:00,26686.03,26700.0,26686.03,26700.0,50.02174
101,2023-05-27 08:25:00+00:00,26699.99,26705.03,26699.99,26705.03,30.74017
102,2023-05-27 08:30:00+00:00,26705.03,26708.31,26698.24,26698.24,32.63337
103,2023-05-27 08:35:00+00:00,26698.25,26698.25,26687.27,26690.58,38.90194
104,2023-05-27 08:40:00+00:00,26690.58,26692.79,26678.14,26689.72,49.72694
105,2023-05-27 08:45:00+00:00,26689.72,26689.75,26676.37,26676.42,46.83047
106,2023-05-27 08:50:00+00:00,26676.43,26692.03,26676.17,26692.02,53.22003
107,2023-05-27 08:55:00+00:00,26692.02,26692.03,26687.31,26688.65,52.20649
108,2023-05-27 09:00:00+00:00,26688.64,26689.98,26687.49,26687.49,15.44166
109,2023-05-27 09:05:00+00:00,26687.5,26687.5,26683.43,26683.98,22.50471
110,2023-05-27 09:10:00+00:00,26683.99,26691.99,26683.98,26691.75,51.59331
111,2023-05-27 09:15:00+00:00,26691.75,26701.95,26691.74,26701.95,43.70038
112,2023-05-27 09:20:00+00:00,26701.95,26703.1,26701.94,26703.09,28.7161
113,2023-05-27 09:25:00+00:00,26703.09,26707.26,26702.18,26702.18,45.91672
114,2023-05-27 09:30:00+00:00,26702.18,26705.97,26701.43,26705.96,32.51211
115,2023-05-27 09:35:00+00:00,26705.96,26727.05,26705.96,26719.52,37.75057
116,2023-05-27 09:40:00+00:00,26719.52,26719.53,26707.87,26707.87,35.58944
117,2023-05-27 09:45:00+00:00,26707.87,26719.32,26699.2,26719.32,39.11333
118,2023-05-27 09:50:00+00:00,26719.31,26732.66,26719.31,26723.88,48.8544
119,2023-05-27 09:55:00+00:00,26723.87,26723.88,26699.16,26699.17,45.34588
120,2023-05-27 10:00:00+00:00,26699.16,26704.21,26693.97,26704.21,67.59244
121,2023-05-27 10:05:00+00:00,26704.2,26705.51,26700.73,26705.51,26.84311
122,2023-05-27 10:10:00+00:00,26705.5,26707.17,26703.18,26703.18,39.85146
123,2023-05-27 10:15:00+00:00,26703.19,26706.99,26697.92,26706.98,67.87563
124,2023-05-27 10:20:00+00:00,26706.99,26716.55,26700.97,26709.96,149.50015
125,2023-05-27 10:25:00+00:00,26709.96,26709.96,26700.71,26700.71,49.51435
126,2023-05-27 10:30:00+00:00,26700.72,26700.72,26692.54,26692.54,22.43491
127,2023-05-27 10:35:00+00:00,26692.55,26692.55,26690.81,26690.82,26.81758
128,2023-05-27 10:40:00+00:00,26690.81,26698.86,26683.24,26698.85,80.72797
129,2023-05-27 10:45:00+00:00,26698.86,26698.86,26689.59,26689.59,45.71085
130,2023-05-27 10:50:00+00:00,26689.6,26689.6,26673.69,26673.69,55.4797
131,2023-05-27 10:55:00+00:00,26673.7,26676.89,26667.93,26676.89,42.98624
132,2023-05-27 11:00:00+00:00,26676.89,26679.33,26666.37,26679.32,82.98049
133,2023-05-27 11:05:00+00:00,26679.32,26682.36,26679.32,26682.35,29.1286
134,2023-05-27 11:10:00+00:00,26682.35,26688.68,26682.35,26688.67,28.66492
135,2023-05-27 11:15:00+00:00,26688.68,26688.68,26682.35,26682.35,28.08572
136,2023-05-27 11:20:00+00:00,26682.35,26682.36,26675.62,26678.74,41.1124
137,2023-05-27 11:25:00+00:00,26678.74,26688.43,26678.73,26688.42,46.55781
138,2023-05-27 11:30:00+00:00,26688.43,26690.43,26684.82,26690.42,27.61186
139,2023-05-27 11:35:00+00:00,26690.43,26695.57,26690.42,26695.56,27.69337
140,2023-05-27 11:40:00+00:00,26695.56,26701.52,26695.56,26701.52,43.22043
141,2023-05-27 11:45:00+00:00,26701.52,26714.01,26701.51,26703.27,55.64998
142,2023-05-27 11:50:00+00:00,26703.27,26703.28,26699.01,26699.01,19.12217
143,2023-05-27 11:55:00+00:00,26699.01,26699.02,26699.0,26699.02,20.55832
144,2023-05-27 12:00:00+00:00,26699.02,26701.21,26691.28,26691.28,97.85091
145,2023-05-27 12:05:00+00:00,26691.28,26691.29,26677.4,26687.24,71.39657
146,2023-05-27 12:10:00+00:00,26687.23,26704.26,26687.23,26701.09,36.64983
147,2023-05-27 12:15:00+00:00,26701.09,26702.38,26701.09,26701.89,26.74798
148,2023-05-27 12:20:00+00:00,26701.88,26743.8,26701.88,26733.35,123.16234
149,2023-05-27 12:25:00+00:00,26733.35,26733.35,26719.51,26728.05,31.36296
150,2023-05-27 12:30:00+00:00,26728.04,26735.25,26719.78,26730.83,50.10549
151,2023-05-27 12:35:00+00:00,26730.82,26730.83,26730.06,26730.82,22.26729
152,2023-05-27 12:40:00+00:00,26730.81,26743.44,26728.99,26731.15,43.47376
153,2023-05-27 12:45:00+00:00,26731.15,26735.95,26723.62,26723.63,30.96214
154,2023-05-27 12:50:00+00:00,26723.63,26726.76,26719.51,26720.69,25.89444
155,2023-05-27 12:55:00+00:00,26720.69,26720.7,26711.5,26711.5,48.77993
156,2023-05-27 13:00:00+00:00,26711.5,26717.2,26711.5,26717.2,27.08953
157,2023-05-27 13:05:00+00:00,26717.19,26720.02,26717.19,26720.01,20.748
158,2023-05-27 13:10:00+00:00,26720.02,26720.02,26716.49,26717.59,25.79999
159,2023-05-27 13:15:00+00:00,26717.58,26720.07,26717.08,26720.07,15.63558
160,2023-05-27 13:20:00+00:00,26720.06,26768.7,26720.06,26761.8,163.10948
161,2023-05-27 13:25:00+00:00,26761.81,26766.48,26745.31,26766.47,171.81811
162,2023-05-27 13:30:00+00:00,26766.47,26777.77,26745.02,26745.03,78.33319
163,2023-05-27 13:35:00+00:00,26745.03,26745.03,26740.16,26743.28,44.31852
164,2023-05-27 13:40:00+00:00,26743.28,26744.41,26731.96,26731.96,31.60067
165,2023-05-27 13:45:00+00:00,26731.97,26731.97,26714.98,26718.99,52.80835
166,2023-05-27 13:50:00+00:00,26719.0,26719.0,26705.66,26705.66,28.68125
167,2023-05-27 13:55:00+00:00,26705.67,26705.67,26551.0,26628.29,509.36018
168,2023-05-27 14:00:00+00:00,26628.29,26655.92,26607.42,26631.95,148.6636
169,2023-05-27 14:05:00+00:00,26631.95,26653.57,26631.93,26651.7,84.54913
170,2023-05-27 14:10:00+00:00,26651.7,26663.34,26646.23,26662.85,67.02685
171,2023-05-27 14:15:00+00:00,26662.85,26664.35,26647.25,26649.29,36.54791
172,2023-05-27 14:20:00+00:00,26649.29,26724.19,26622.38,26707.53,177.33035
173,2023-05-27 14:25:00+00:00,26707.54,26713.87,26685.38,26698.68,63.56281
174,2023-05-27 14:30:00+00:00,26698.69,26698.69,26680.06,26692.45,57.35615
175,2023-05-27 14:35:00+00:00,26692.44,26695.33,26683.0,26683.01,35.0754
176,2023-05-27 14:40:00+00:00,26683.0,26683.01,26673.67,26677.04,45.0229
177,2023-05-27 14:45:00+00:00,26677.04,26687.78,26666.73,26680.29,57.27223
178,2023-05-27 14:50:00+00:00,26680.28,26680.29,26654.39,26654.39,59.3412
179,2023-05-27 14:55:00+00:00,26654.4,26667.49,26654.34,26666.87,44.804
180,2023-05-27 15:00:00+00:00,26666.87,26671.19,26660.19,26660.23,29.09963
181,2023-05-27 15:05:00+00:00,26660.24,26661.2,26650.13,26650.14,40.3207
182,2023-05-27 15:10:00+00:00,26650.13,26655.37,26636.98,26636.99,63.98697
183,2023-05-27 15:15:00+00:00,26636.99,26662.84,26636.98,26662.83,43.85221
184,2023-05-27 15:20:00+00:00,26662.83,26676.09,26662.83,26676.09,102.70238
185,2023-05-27 15:25:00+00:00,26676.08,26676.09,26666.0,26666.32,45.07736
186,2023-05-27 15:30:00+00:00,26666.32,26674.97,26666.01,26674.94,43.08851
187,2023-05-27 15:35:00+00:00,26674.94,26677.69,26668.54,26669.72,22.6828
188,2023-05-27 15:40:00+00:00,26669.72,26669.73,26663.8,26663.8,20.45812
189,2023-05-27 15:45:00+00:00,26663.8,26669.1,26659.38,26669.1,33.82312
190,2023-05-27 15:50:00+00:00,26669.09,26672.79,26665.14,26672.64,32.21782
191,2023-05-27 15:55:00+00:00,26672.64,26690.06,26672.63,26690.05,42.49325
192,2023-05-27 16:00:00+00:00,26690.06,26694.26,26685.66,26685.66,57.90002
193,2023-05-27 16:05:00+00:00,26685.67,26689.14,26681.58,26689.13,52.7743
194,2023-05-27 16:10:00+00:00,26689.14,26689.14,26681.8,26681.81,21.0158
195,2023-05-27 16:15:00+00:00,26681.8,26681.81,26664.69,26667.8,51.41789
196,2023-05-27 16:20:00+00:00,26667.8,26667.81,26647.57,26661.93,69.40609
197,2023-05-27 16:25:00+00:00,26661.94,26667.7,26658.48,26667.7,32.077
198,2023-05-27 16:30:00+00:00,26667.69,26677.93,26658.55,26658.56,36.82284
199,2023-05-27 16:35:00+00:00,26658.55,26658.56,26645.27,26645.28,51.92816
200,2023-05-27 16:40:00+00:00,26645.27,26645.28,26620.35,26641.99,88.90578
201,2023-05-27 16:45:00+00:00,26641.98,26654.33,26641.98,26652.96,20.60352
202,2023-05-27 16:50:00+00:00,26652.95,26662.32,26652.95,26662.31,18.44385
203,2023-05-27 16:55:00+00:00,26662.32,26664.61,26662.31,26664.07,24.73879
204,2023-05-27 17:00:00+00:00,26664.07,26672.06,26663.62,26663.63,35.79812
205,2023-05-27 17:05:00+00:00,26663.62,26668.51,26663.62,26668.5,20.17061
206,2023-05-27 17:10:00+00:00,26668.51,26673.19,26668.5,26670.5,51.11749
207,2023-05-27 17:15:00+00:00,26670.51,26676.25,26670.5,26675.98,47.00172
208,2023-05-27 17:20:00+00:00,26675.98,26675.98,26666.54,26668.33,46.24692
209,2023-05-27 17:25:00+00:00,26668.33,26685.62,26668.33,26674.36,32.37861
210,2023-05-27 17:30:00+00:00,26674.37,26686.55,26674.36,26686.55,49.73182
211,2023-05-27 17:35:00+00:00,26686.55,26728.93,26684.11,26728.93,130.63271
212,2023-05-27 17:40:00+00:00,26728.93,26737.66,26718.95,26732.33,110.95224
213,2023-05-27 17:45:00+00:00,26732.34,26760.0,26721.03,26753.61,107.56526
214,2023-05-27 17:50:00+00:00,26753.62,26753.62,26732.9,26748.87,92.96924
215,2023-05-27 17:55:00+00:00,26748.86,26765.03,26743.01,26756.7,153.49644
216,2023-05-27 18:00:00+00:00,26756.71,26761.7,26751.83,26758.16,72.39381
217,2023-05-27 18:05:00+00:00,26758.16,26758.16,26748.01,26751.46,32.63453
218,2023-05-27 18:10:00+00:00,26751.46,26751.46,26743.2,26743.2,31.90959
219,2023-05-27 18:15:00+00:00,26743.21,26743.29,26731.3,26731.31,44.64668
220,2023-05-27 18:20:00+00:00,26731.3,26738.28,26727.54,26732.76,60.07543
221,2023-05-27 18:25:00+00:00,26732.75,26744.75,26728.01,26744.75,44.87334
222,2023-05-27 18:30:00+00:00,26744.74,26846.0,26741.58,26807.96,316.06475
223,2023-05-27 18:35:00+00:00,26807.97,26833.97,26799.74,26803.05,90.07606
