Timestamp,Open,High,Low,Close,Volume
2023-09-01 00:15:00,25989.4,26033.1,25987.8,26027.7,1.0
2023-09-01 00:30:00,26027.7,26065.5,26017.7,26039.6,1.0
2023-09-01 00:45:00,26039.6,26058.3,26033.9,26051.7,1.0
2023-09-01 01:00:00,26051.7,26056.1,26008.2,26024.8,1.0
2023-09-01 01:15:00,26024.6,26024.6,25990.4,26000.3,1.0
2023-09-01 01:30:00,26000.3,26002.6,25981.3,25988.7,1.0
2023-09-01 01:45:00,25988.8,26002.3,25975.6,25985.8,1.0
2023-09-01 02:00:00,25985.8,26015.6,25985.4,25996.0,1.0
2023-09-01 02:15:00,25996.0,26051.6,25996.0,26047.3,1.0
2023-09-01 02:30:00,26047.3,26092.4,26040.5,26084.5,1.0
2023-09-01 02:45:00,26084.5,26097.0,26048.2,26055.4,1.0
2023-09-01 03:00:00,26055.8,26059.9,26042.3,26044.7,1.0
2023-09-01 03:15:00,26044.7,26051.9,26042.4,26043.3,1.0
2023-09-01 03:30:00,26043.3,26077.4,26043.3,26070.2,1.0
2023-09-01 03:45:00,26070.2,26093.0,26070.1,26080.5,1.0
2023-09-01 04:00:00,26080.5,26092.5,26074.7,26090.2,1.0
2023-09-01 04:15:00,26090.2,26091.4,26055.6,26055.6,1.0
2023-09-01 04:30:00,26055.5,26055.5,26036.2,26044.5,1.0
2023-09-01 04:45:00,26044.6,26052.2,26039.9,26041.8,1.0
2023-09-01 05:00:00,26041.8,26054.6,26028.0,26035.3,1.0
2023-09-01 05:15:00,26035.3,26047.4,26027.0,26040.9,1.0
2023-09-01 05:30:00,26040.9,26040.9,26025.3,26031.6,1.0
2023-09-01 05:45:00,26031.6,26050.0,26021.6,26025.9,1.0
2023-09-01 06:00:00,26026.1,26040.3,26026.1,26033.3,1.0
2023-09-01 06:15:00,26033.3,26033.4,26013.9,26014.8,1.0
2023-09-01 06:30:00,26014.8,26016.9,25982.1,26013.1,1.0
2023-09-01 06:45:00,26012.7,26025.5,25980.2,25997.0,1.0
2023-09-01 07:00:00,25996.8,26012.6,25991.7,26010.4,1.0
2023-09-01 07:15:00,26010.4,26016.2,25980.2,25988.8,1.0
2023-09-01 07:30:00,25988.8,26011.5,25986.2,25990.2,1.0
2023-09-01 07:45:00,25990.2,26004.7,25989.7,25990.2,1.0
2023-09-01 08:00:00,25990.2,26015.7,25990.2,25998.3,1.0
2023-09-01 08:15:00,25998.3,25998.3,25959.5,25963.8,1.0
2023-09-01 08:30:00,25964.2,25994.3,25963.8,25975.6,1.0
2023-09-01 08:45:00,25975.6,25980.7,25966.4,25980.7,1.0
2023-09-01 09:00:00,25980.7,26008.8,25974.0,26008.8,1.0
2023-09-01 09:15:00,26008.8,26047.0,26005.6,26023.1,1.0
2023-09-01 09:30:00,26023.1,26027.6,26003.9,26019.7,1.0
2023-09-01 09:45:00,26019.7,26046.6,26008.7,26031.4,1.0
2023-09-01 10:00:00,26031.4,26038.0,26017.2,26036.9,1.0
2023-09-01 10:15:00,26036.9,26045.3,26015.0,26015.0,1.0
2023-09-01 10:30:00,26014.9,26029.2,25988.7,25988.7,1.0
2023-09-01 10:45:00,25988.7,26002.1,25985.7,25998.5,1.0
2023-09-01 11:00:00,25998.5,26026.5,25983.3,25991.3,1.0
2023-09-01 11:15:00,25991.3,26001.5,25982.0,25982.0,1.0
2023-09-01 11:30:00,25982.0,26052.4,25981.3,26037.1,1.0
